p,few_shot_pred,few_shot_score,zero_shot_pred,zero_shot_score,rep
1,High,1,High,1,1
2,High,1,High,1,1
3,High,0,High,0,1
4,High,0,High,0,1
5,High,0,High,0,1
6,High,1,High,1,1
7,High,1,High,1,1
8,High,0,High,0,1
9,High,0,High,0,1
10,High,1,High,1,1
11,High,0,High,0,1
12,High,0,High,0,1
13,High,0,High,0,1
14,High,1,High,1,1
15,High,1,High,1,1
16,High,0,High,0,1
17,High,1,High,1,1
18,High,0,High,0,1
19,High,0,High,0,1
20,High,1,High,1,1
21,High,0,High,0,1
22,Moderate,0,High,0,1
23,High,0,High,0,1
24,High,1,High,1,1
25,High,0,High,0,1
26,High,1,High,1,1
27,Low,1,Moderate,0,1
28,High,0,High,0,1
29,Moderate,1,High,0,1
30,High,0,High,0,1
31,High,1,High,1,1
32,High,0,High,0,1
33,High,0,High,0,1
34,Moderate,1,High,0,1
35,Moderate,0,High,1,1
36,High,1,High,1,1
37,Moderate,1,Moderate,1,1
38,Moderate,0,Moderate,0,1
39,High,0,High,0,1
40,High,0,High,0,1
41,Moderate,0,High,1,1
42,High,1,High,1,1
43,High,0,High,0,1
44,High,0,High,0,1
45,Moderate,1,High,0,1
46,High,0,High,0,1
47,Moderate,0,High,1,1
48,High,0,High,0,1
49,Moderate,1,High,0,1
50,Moderate,0,High,0,1
51,High,1,High,1,1
52,Moderate,0,High,0,1
53,High,0,High,0,1
54,High,1,High,1,1
55,High,0,High,0,1
56,High,0,High,0,1
57,Moderate,0,Moderate,0,1
58,Moderate,0,High,0,1
59,High,1,High,1,1
60,Moderate,0,Moderate,0,1
1,High,1,High,1,2
2,High,1,High,1,2
3,Moderate,1,High,0,2
4,High,0,High,0,2
5,Moderate,0,High,0,2
6,Moderate,0,High,1,2
7,High,1,High,1,2
8,Moderate,1,High,0,2
9,Moderate,1,High,0,2
10,High,1,High,1,2
11,High,0,High,0,2
12,High,0,High,0,2
13,Moderate,1,Moderate,1,2
14,Moderate,0,High,1,2
15,Moderate,0,High,1,2
16,High,0,High,0,2
17,High,1,High,1,2
18,High,0,High,0,2
19,High,0,High,0,2
20,High,1,High,1,2
21,High,0,High,0,2
22,Moderate,0,High,0,2
23,High,0,High,0,2
24,High,1,High,1,2
25,Moderate,1,High,0,2
26,High,1,High,1,2
27,Moderate,0,Moderate,0,2
28,Moderate,0,High,0,2
29,Moderate,1,High,0,2
30,High,0,High,0,2
31,High,1,High,1,2
32,High,0,High,0,2
33,High,0,High,0,2
34,Moderate,1,High,0,2
35,Moderate,0,High,1,2
36,High,1,High,1,2
37,Moderate,1,Moderate,1,2
38,Moderate,0,High,0,2
39,High,0,High,0,2
40,High,0,High,0,2
41,Moderate,0,High,1,2
42,High,1,High,1,2
43,High,0,High,0,2
44,High,0,High,0,2
45,Moderate,1,High,0,2
46,High,0,High,0,2
47,Moderate,0,High,1,2
48,High,0,High,0,2
49,High,0,High,0,2
50,High,0,High,0,2
51,High,1,High,1,2
52,Moderate,0,High,0,2
53,High,0,High,0,2
54,High,1,High,1,2
55,High,0,High,0,2
56,High,0,High,0,2
57,Moderate,0,Moderate,0,2
58,Moderate,0,High,0,2
59,High,1,High,1,2
60,Moderate,0,Moderate,0,2
1,High,1,High,1,3
2,Moderate,0,High,1,3
3,Moderate,1,High,0,3
4,High,0,High,0,3
5,Moderate,0,High,0,3
6,High,1,High,1,3
7,High,1,High,1,3
8,Moderate,1,High,0,3
9,Moderate,1,High,0,3
10,High,1,High,1,3
11,High,0,High,0,3
12,High,0,High,0,3
13,Moderate,1,High,0,3
14,High,1,High,1,3
15,Moderate,0,High,1,3
16,Moderate,0,High,0,3
17,Moderate,0,High,1,3
18,High,0,High,0,3
19,Moderate,1,High,0,3
20,High,1,High,1,3
21,Moderate,0,High,0,3
22,Moderate,0,High,0,3
23,High,0,High,0,3
24,High,1,High,1,3
25,High,0,High,0,3
26,High,1,High,1,3
27,Moderate,0,Moderate,0,3
28,Moderate,0,High,0,3
29,Moderate,1,High,0,3
30,High,0,High,0,3
31,High,1,High,1,3
32,High,0,High,0,3
33,High,0,High,0,3
34,Moderate,1,High,0,3
35,High,1,High,1,3
36,High,1,High,1,3
37,Moderate,1,Moderate,1,3
38,Moderate,0,Moderate,0,3
39,High,0,High,0,3
40,High,0,High,0,3
41,High,1,High,1,3
42,High,1,High,1,3
43,High,0,High,0,3
44,High,0,High,0,3
45,High,0,High,0,3
46,High,0,High,0,3
47,High,1,High,1,3
48,High,0,High,0,3
49,High,0,High,0,3
50,High,0,High,0,3
51,High,1,High,1,3
52,Moderate,0,High,0,3
53,High,0,High,0,3
54,High,1,High,1,3
55,High,0,High,0,3
56,High,0,High,0,3
57,Low,1,Moderate,0,3
58,Moderate,0,High,0,3
59,High,1,High,1,3
60,Moderate,0,Moderate,0,3
